drug	conc	tot_count	live_perc	control_count	control_perc	rep
Control	0	4.57e5	0.46	4.57e5	0.46	1
Control	10	1.71e5	0.97	1.71e5	0.97	1
Noco	0.005	1.16e5	0.95	4.57e5	0.46	1
Noco	0.01	1.65e5	0.70	4.57e5	0.46	1
Noco	0.015	1.36e6	0.31	4.57e5	0.46	1
Mim	0.1	1.10e5	1	4.57e5	0.46	1
Mim	0.3	2.59e5	0.64	4.57e5	0.46	1
Mim	0.4	3.74e5	0.65	1.71e5	0.97	1
HU	0.1	1.10e5	1	4.57e5	0.46	1
HU	1	1.43e5	0.69	1.71e5	0.97	1
HU	2	8.80e4	1	1.71e5	0.97	1
Control	0	2.75e5	0.96	2.75e5	0.96	2
Control	5	2.70e5	0.86	2.70e5	0.86	2
Control	10	8.42e5	0.35	8.42e5	0.35	2
Noco	0.005	1.16e5	1	2.75e5	0.96	2
Noco	0.01	7.70e4	.71	2.70e5	0.86	2
Noco	0.015	1.74e6	.30	2.70e5	0.86	2
Mim	0.1	2.04e5	.59	2.75e5	0.96	2
Mim	0.3	2.97e5	.8	2.70e5	0.86	2
Mim	0.4	2.31e5	.52	8.42e5	0.35	2
HU	0.1	1.49e5	.63	2.75e5	0.96	2
HU	1	3.80e5	.22	8.42e5	0.35	2
HU	2	1.42e6	.07	8.42e5	0.35	2
